GRAND_ID,GDW_ID,Name,Main_use,Uses,Cap_mcm,River,Disch_ls,Reg_degre,Elev,area_km,perm_km,HUC2,Lat,Long
1788,890,Tellico Lake,Recreation,"Recreation (Main), Other (Sec)",576.8,Little Tennessee River,560341,3.3,247,99.842,503.374,06,35.789583000000036,-84.23958299999998
1796,894,B. Everett Jordan Lake,Water supply,"Water supply (Main), Recreation (Sec), Fisheries (Sec), Other (Sec)",704.001,Haw River,35658,180.6,68,36.969,133.15,03,35.656806000000074,-79.06866999999994
1797,154,Watts Bar Lake,Navigation,"Navigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",1449.3,Tennessee River,1036748,4.4,222,120.678,433.788,06,35.62394500000004,-84.78020799999996
1800,899,Normandy Lake,Hydroelectricity,"Hydropower (Main), Recreation (Sec)",155.5,Duck River,9014,54.7,269,10.624,55.239,06,35.4662450000001,-86.24270799999994
1801,900,Fontana Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",1779.9,Little Tennessee River,127280,44.3,503,24.896,168.033,06,35.45339900000006,-83.80729199999996
1818,911,Hiwassee Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",535.3,Hiwassee River,77329,22,450,12.393,102.062,06,35.152638000000046,-84.17604199999994
1822,159,Chickamauga Lake,Navigation,"Navigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",909.4,Tennessee River,1301559,2.2,203,110.988,478.118,06,35.10202500000003,-85.22674199999994
1823,3100,Parksville Lake,Hydroelectricity,"Hydropower (Main), Recreation (Sec)",102.7,Ocoee River,46345,7,251,6.119,34.109,06,35.09439300000004,-84.64655099999999
1824,160,Pickwick Lake,Navigation,"Navigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",1363,Tennessee River,1967736,2.2,125,155.663,339.428,06,35.069376000000084,-88.24742899999995
1828,915,Chatuge Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",296.7,Hiwassee River,10952,85.9,585,21.529,110.36,06,35.016806000000024,-83.79202999999995
1829,916,Nickajack Lake,Navigation,"Navigation (Main), Hydropower (Sec), Recreation (Sec)",310.3,Tennessee River,1379772,0.7,188,39.046,177.313,06,35.00189900000004,-85.61824699999994
1833,3111,Nottely Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec), Navigation (Sec)",215,Nottely River,17544,38.9,535,7.227,54.529,06,34.95590500000006,-84.09062499999999
1834,3115,Lake Toccoa,Hydroelectricity,"Hydropower (Main), Recreation (Sec)",241.6,Toccoa River,18031,42.5,507,9.382,56.597,06,34.881121000000036,-84.27812499999999
1835,161,Wheeler Lake,Hydroelectricity,"Hydropower (Main), Recreation (Sec)",1318.6,Tennessee River,1801464,2.3,165,154.744,272.663,06,34.80629900000004,-87.38023099999998
1841,3130,Carters Lake,Flood control,"Flood control (Main), Hydropower (Sec), Recreation (Sec)",583.2,Coosawattee River,25191,73.4,336,9.905,48.642,03,34.61458300000008,-84.66860999999994
1843,928,Cedar Creek Reservoir,Flood control,"Flood control (Main), Recreation (Sec), Other (Sec)",130.4,Cedar Creek,9790,42.2,174,12.537,66.996,06,34.54375000000004,-87.97274099999998
1847,163,Guntersville Lake,Navigation,"Navigation (Main), Hydropower (Sec), Flood control (Sec), Recreation (Sec)",1293.9,Tennessee River,1521050,2.7,179,166.902,352.955,06,34.421538000000055,-86.39201999999995
1848,164,Sardis Lake,Flood control,"Flood control (Main), Recreation (Sec)",3720.2,Little Tallahatchie River,105082,112.3,77,118.56,127.09,08,34.40734400000011,-89.79263399999996
