pars,period,Method,GRAND_ID,nrmse_stor,nrmse_release,kge_stor,kge_release,pbias_stor,pbias_release,nse_stor,nse_release,r2_stor,r2_release
default,Evaluation,rulebasedloc200,80,130.2,95.3,0.31275641018075395,0.5353024700832822,23.7,-1.1,-0.694682125772208,0.09127968295253042,0.13200094528317705,0.287236229707475
default,Evaluation,sdp,80,119.8,91.3,0.2599205216829764,0.5392288702442145,25.6,-0.7,-0.4366995709133077,0.16569362419260536,0.21066495114636014,0.299725271309451
default,Evaluation,starfit,80,38.9,69.8,0.8374645743683597,0.5542012868981897,-2.1,-0.5,0.8488631041040182,0.5126282285283146,0.8579666618293822,0.5168886484533853
default,Fitting,gdrom,80,92.1,71.7,0.6489466028087403,0.6928875494209724,-13.8,0.1,0.1516083243020271,0.4855941423531148,0.529126200565594,0.5131390967579448
default,Fitting,h06,80,94.3,83.7,0.4375417492803998,0.48535064454645804,-8.1,0,0.11129871967230953,0.30002348224701236,0.24566614448503868,0.3229755621552613
default,Fitting,natlake,80,132.2,103.4,-0.038577637817261534,0.5160807405117664,24.7,-1,-0.748879193047846,-0.06998189719938841,0.010760303300994995,0.2849696165260705
default,Fitting,rulebasedloc200,80,103.8,91.6,0.5344959005694532,0.5824103209434461,7.4,-0.1,-0.07730529325793256,0.15994955476381656,0.37958100298860303,0.3392519394761197
default,Fitting,sdp,80,108.1,94.5,0.3815475038657872,0.5644233437282292,20,-0.6,-0.16985194402062342,0.10658317209029267,0.24739581085117385,0.31954590873029376
default,Fitting,starfit,80,53.4,70.7,0.7853900227202496,0.5871101687328565,-5.3,0.1,0.7152176146083049,0.4996510944917246,0.741622921321675,0.49965713816606133
fitted,Evaluation,gdrom,80,38.3,70.4,0.9236384694778242,0.7427125863862967,1,-0.3,0.8530187609904372,0.5039443737687799,0.8573850403465153,0.5543974431118691
fitted,Evaluation,h06,80,94,80.6,0.3152659374178498,0.44558108146985353,10.7,-0.4,0.11569176364764877,0.34996142153581133,0.2332648985545708,0.3509888447350503
fitted,Evaluation,natlake,80,115.6,79.8,-0.1583729359344228,0.5796407623040136,-5.8,-1.2,-0.336304256245322,0.3623153355445474,0.002163057978184778,0.39403775510046984
fitted,Evaluation,rulebasedloc200,80,80.7,77.8,0.5605535555333214,0.5383746655558086,-2.5,-1,0.3493138198259528,0.3947937050799596,0.38265952113775575,0.40209788762009385
fitted,Evaluation,sdp,80,82.8,92.4,0.6161968506277278,0.34702041362171365,3.7,-1.2,0.31357399997895063,0.14536024507156264,0.39879069796969774,0.19460476148062578
fitted,Evaluation,starfit,80,25.1,66.1,0.9089185728121619,0.6313221614355606,2.4,-0.3,0.9372127397801635,0.5628810266842563,0.9457291683775496,0.5633875923676677
fitted,Fitting,gdrom,80,35.3,61.1,0.9286705343836181,0.798719865523774,0.4,0,0.8752768744068631,0.626022945391863,0.8851819945918965,0.647527810712263
fitted,Fitting,h06,80,88.7,83,0.3617656550385753,0.5182926953043291,-0.5,0.1,0.2138313947814634,0.3115403490959927,0.23398014726584182,0.34131177402284674
fitted,Fitting,natlake,80,117.9,81.8,-0.1958710328970299,0.6090938512507945,-7.8,-0.5,-0.3911373901105242,0.3307422584424543,0.007021086785629546,0.3943464427870723
fitted,Fitting,rulebasedloc200,80,79.9,73.3,0.6684732612252446,0.6493966305059884,-8.6,0.1,0.3607676484032435,0.46295096408023606,0.478962139221,0.4813158146757487
fitted,Fitting,sdp,80,81.6,90.9,0.6575183665384324,0.5314254544419132,5.1,-0.1,0.33375304759470614,0.17288259468281308,0.4414952200766384,0.29551940506259244
fitted,Fitting,starfit,80,42.8,68.6,0.8469502624502985,0.6494814675383629,1.3,-0,0.8169899221490708,0.5293806622276421,0.8192409085209111,0.5317114158148631
default,Evaluation,gdrom,88,37.5,79.8,0.9124520450256608,0.6938830130362781,2.3,-0.3,0.8593053301106078,0.36300025162672467,0.8613033422274335,0.4874261845531162
default,Evaluation,h06,88,95.9,83.3,0.2990809836809202,0.4043657687933524,28.8,-0.2,0.080023004151346,0.3061324485434881,0.28319845827197987,0.3084642728510907
default,Evaluation,natlake,88,143.1,98.5,-0.20348459110178063,0.5553005201220866,59.8,0,-1.0485447447067533,0.029049358891935606,0.006416025948207219,0.32525074531383874
default,Evaluation,rulebasedloc200,88,105,92.3,0.4095336964907893,0.45389642445547107,44.6,-1.2,-0.1033708918949845,0.14871133173748563,0.4202434803349756,0.24255938171012414
default,Evaluation,sdp,88,174.2,100.9,-0.6371073864054693,0.5294670620814708,91.3,0.3,-2.034484324340871,-0.018717550681124795,0.00453905920801559,0.42285587207832354
default,Evaluation,starfit,88,36.3,72,0.9026737196468041,0.6025582846611343,3,1.7,0.8684939426193803,0.4813401366045088,0.8707521969617448,0.4839987890843115
default,Fitting,gdrom,88,49.3,72.5,0.8630133750692435,0.7327915952721885,4.7,0,0.757363237551581,0.47376756260004904,0.7691886411915466,0.5375438140515869
default,Fitting,h06,88,85.6,85.7,0.4293810229800361,0.4309502047969409,15.8,-0.1,0.26682084773857984,0.2657648660026405,0.32735619116844117,0.2851835511535439
default,Fitting,natlake,88,139.8,90.1,-0.11629391150071844,0.612483091231016,64,-1.3,-0.9555818996025109,0.1876737523170119,0.04161080839792594,0.38032073481877277
default,Fitting,rulebasedloc200,88,94.9,86,0.47483902530981836,0.5746429112230553,43.8,-0.3,0.09829604463767339,0.26001303454331504,0.5362106015708732,0.34809736585775314
default,Fitting,sdp,88,178.9,91.8,-0.5937863409368223,0.5924884146392144,101.6,-1.5,-2.202155864439413,0.15627860496637858,0.01587100964595874,0.4872786611369066
default,Fitting,starfit,88,49.7,76.3,0.8197140554522178,0.5515114678213788,5.5,2.3,0.7525157532353433,0.41738513881977257,0.7591223628583651,0.42265186998156995
fitted,Evaluation,gdrom,88,34.9,71.7,0.9157625308061804,0.7301101174792396,-5.3,-0.4,0.8778650690677026,0.48624356627478327,0.8856570588684024,0.5375480815642143
fitted,Evaluation,h06,88,87.7,83.4,0.3611849974070076,0.3936948485281624,13.3,-0.2,0.2301303435611789,0.3047659947692746,0.277389108577534,0.3061219502363392
fitted,Evaluation,natlake,88,112,79.5,-0.2310507708663856,0.6315052082201027,-10.8,-1.4,-0.2549518956465173,0.36808150182237287,0.00546188827421251,0.42300413818497157
